,Please select your age.,What is the highest level of education you have attained?,In which discipline is your highest academic qualification?,In which institute do you work?,Do you write code as part of your job?,Who uses the code that you write?,How many years of software development experience do you have?,What programming language do you use at work? Please select all that apply.,Please rate every answer on a scale from 1 to 10. The sum of all 4 answers must be 10.,"In an average month, how much time do you spend on software development?","In an average month, how much time do you spend on research?","In an average month, how much time do you spend on management?","In an average month, how much time do you spend on other activities?","In an average month, how much time would you like to spend on software development?","In an average month, how much time would you like to spend on research?","In an average month, how much time would you like to spend on management?","In an average month, how much time would you like to spend on other activities?",Which version control tools do you use for software development? Please select all that apply.,Are you documenting your software?,"What kind of documentation do you write? Please rate every answer with “never”, “sometimes”, or “regularly”.",Developer guide,Code comments,Guide for new contributors,User manual,Release notes,Installation notes,README,Are you testing your software?,"How do you test your software? Please rate every answer with “never”, “sometimes”, or “regularly”.",Automated,semi-automated,manually,"When do you test your software? Please rate every answer with “never”, “sometimes”, or “regularly”.",Before I publish results based on it,Before I give it to someone else,During development,Did you ever reference or acknowledge software in a publication?,How do you reference software in a publication? Please select all that apply.,Do you care for making your software citable?
75,25 - 34,Doctorate,Mathematics,Institute Space 17,Yes,5 - Mostly other people,5.0,C;#Python;#C++,,4.0,1.0,3.0,3.0,5.0,3.0,1.0,2.0,Subversion;#Git,Yes,,2.0,3.0,1.0,2.0,2.0,2.0,3.0,Yes,,3.0,3.0,,,3.0,3.0,3.0,Yes,Name;#Link;#DOI;#Other,No
76,25 - 34,Doctorate,Mathematics,Institute Space 17,Yes,3,5.0,C;#Python;#C++;#Fortran,,5.0,3.0,0.0,2.0,5.0,5.0,0.0,0.0,Git,Yes,,3.0,3.0,2.0,3.0,1.0,1.0,1.0,Yes,,3.0,2.0,2.0,,3.0,3.0,3.0,Yes,Name;#Link;#DOI,No
77,35 - 44,Master degree,Computer Science,Institute Space 15,Yes,5 - Mostly other people,15.0,Java;#Python;#JavaScript;#SQL;#Other,,5.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,Subversion;#Git,Yes,,2.0,3.0,1.0,2.0,2.0,1.0,3.0,Yes,,3.0,3.0,2.0,,3.0,3.0,3.0,Yes,Name;#Link,Yes
78,25 - 34,Master degree,Computer Science,Institute Space 18,Yes,3,2.0,C;#Python;#C++;#SQL;#R;#Other,,3.0,1.0,3.0,3.0,6.0,2.0,1.0,1.0,Subversion;#Git,Yes,,3.0,3.0,2.0,3.0,2.0,2.0,3.0,Yes,,3.0,3.0,2.0,,3.0,3.0,3.0,No,,No
79,18 - 24,Undergraduate degree,Computer Science,Institute Energy 3,Yes,3,5.0,Java;#C;#Python;#C++;#SQL;#MATLAB,,4.0,2.0,3.0,1.0,6.0,2.0,1.0,1.0,Subversion;#Git,Yes,,3.0,3.0,2.0,3.0,3.0,3.0,3.0,Yes,,3.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,No
80,45 - 54,Doctorate,Physics,Institute Space 6,Yes,4,27.0,C;#C++;#SQL;#MATLAB;#Perl;#Other,,2.0,1.0,0.0,7.0,3.0,4.0,0.0,3.0,CVS;#Other,Yes,,2.0,3.0,2.0,3.0,3.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,No,,No
81,35 - 44,Doctorate,Physics,Institute Aeronautics 12,Yes,0 - Mostly me,2.0,Python,,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,None,Yes,,1.0,3.0,2.0,1.0,2.0,1.0,1.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name,No
82,18 - 24,Undergraduate degree,Computer Science,Institute Aeronautics 2,Yes,5 - Mostly other people,3.0,C#;#MATLAB,,8.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,"Other DVCS (e.g. Bazaar, BitKeeper, GNU arch, Mercurial, Monotone)",Yes,,3.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,3.0,2.0,2.0,,2.0,3.0,2.0,No,,No
83,25 - 34,Master degree,Economics,Institute Transport 1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Link,
84,35 - 44,Undergraduate degree,Geography & Environmental Sciences,Institute Transport 3,Yes,0 - Mostly me,1.0,Java;#Python;#SQL;#R,,6.0,2.0,0.0,2.0,8.0,2.0,0.0,0.0,Subversion,Yes,,3.0,3.0,3.0,2.0,,1.0,2.0,Yes,,2.0,2.0,3.0,,3.0,2.0,3.0,Yes,Link;#DOI;#Other,No
85,45 - 54,Master degree,Physics,Institute Space 15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name,
86,45 - 54,Doctorate,Physics,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Link,
87,35 - 44,Doctorate,Geography & Environmental Sciences,Institute Space 18,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Other,
88,35 - 44,Doctorate,Other,Institute Space 16,Yes,2,20.0,C;#C++;#PHP;#MATLAB;#Perl;#Fortran,,1.0,7.0,0.0,2.0,0.0,10.0,0.0,0.0,Subversion;#CVS,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,3.0,Yes,,1.0,1.0,3.0,,1.0,1.0,3.0,Yes,Name;#Link;#DOI,No
89,45 - 54,Master degree,Physics,Institute Energy 4,Yes,1,28.0,C;#Perl;#Fortran,,1.0,1.0,8.0,1.0,2.0,6.0,1.0,1.0,Subversion,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,1.0,1.0,3.0,No,,No
90,55 or older,Doctorate,Civil Engineering,Institute Aeronautics 3,Yes,3,20.0,Python;#C++,,1.0,2.0,6.0,1.0,1.0,5.0,3.0,1.0,Subversion,Yes,,2.0,3.0,1.0,2.0,2.0,1.0,3.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,No
91,45 - 54,,Mathematics,Institute Space 7,Yes,3,30.0,C;#Python;#C++;#JavaScript,,3.0,4.0,2.0,1.0,3.0,4.0,2.0,1.0,Subversion,Yes,,2.0,3.0,1.0,2.0,2.0,3.0,3.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,No
92,35 - 44,Doctorate,Computer Science,,Yes,2,15.0,Java;#C;#Python;#MATLAB;#Other,,3.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,Git,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,2.0,3.0,,2.0,3.0,3.0,No,,No
93,25 - 34,Master degree,Computer Science,,Yes,3,2.0,C;#Python,,,,,,,,,,Other,Yes,,1.0,3.0,1.0,3.0,1.0,1.0,3.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,,Yes
94,25 - 34,Doctorate,Physics,Institute Space 8,Yes,1,12.0,Java;#C;#Python;#C++,,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,Git,Yes,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,No
95,35 - 44,Doctorate,Computer Science,Institute Transport 1,Yes,4,20.0,Python;#C++,,6.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,Subversion;#Git,Yes,,2.0,3.0,2.0,3.0,3.0,2.0,2.0,Yes,,3.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,Yes
96,25 - 34,Master degree,Computer Science,Institute Aeronautics 2,Yes,3,6.0,Python;#MATLAB,,4.0,4.0,1.0,1.0,5.0,5.0,,,"Other DVCS (e.g. Bazaar, BitKeeper, GNU arch, Mercurial, Monotone)",Yes,,2.0,3.0,2.0,3.0,3.0,2.0,2.0,Yes,,3.0,2.0,3.0,,3.0,3.0,3.0,No,,No
97,35 - 44,Doctorate,Astronomy,Institute Space 9,Yes,1,14.0,C;#Python;#C++;#PHP;#SQL;#MATLAB,,1.0,1.0,7.0,1.0,1.0,7.0,1.0,1.0,None,No,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name;#DOI,Yes
98,35 - 44,Master degree,Mechanical Engineering,Institute Transport 2,Yes,3,15.0,MATLAB;#Visual Basic;#Other,,2.0,2.0,5.0,1.0,4.0,4.0,1.0,1.0,Subversion,Yes,,,3.0,,2.0,2.0,2.0,2.0,Yes,,2.0,3.0,3.0,,3.0,3.0,3.0,No,,No
99,35 - 44,Master degree,Electrical & Electronic Engineering,Institute Space 4,Yes,1,7.0,Python;#MATLAB,,2.0,2.0,4.0,2.0,2.0,5.0,2.0,1.0,Subversion,No,,1.0,3.0,1.0,2.0,2.0,1.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,,No
100,25 - 34,Master degree,Mechanical Engineering,Institute Aeronautics 1,Yes,1,3.0,C;#Python;#Other,,3.0,6.0,0.0,1.0,3.0,7.0,0.0,0.0,Subversion;#Git,Yes,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,2.0,No,,No
101,35 - 44,Master degree,Aeronautical & Manufacturing Engineering,Institute Space 16,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Link,
102,45 - 54,Master degree,Medicine,Institute Space 2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name,
103,35 - 44,Doctorate,Astronomy,Institute Space 16,Yes,0 - Mostly me,12.0,Python;#Perl,,7.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,Git,Yes,,1.0,3.0,1.0,3.0,2.0,2.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name;#Other,No
104,25 - 34,Master degree,Mechanical Engineering,Other,Yes,4,1.0,Python;#MATLAB;#Visual Basic,,4.0,2.0,3.0,1.0,4.0,5.0,2.0,0.0,Subversion,No,,1.0,3.0,2.0,2.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Link,No
105,45 - 54,Master degree,Economics,Institute Energy 4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
106,25 - 34,Master degree,Mechanical Engineering,Institute Aeronautics 1,Yes,0 - Mostly me,3.0,Python;#Visual Basic,,3.0,5.0,1.0,1.0,3.0,5.0,1.0,1.0,Other,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,2.0,2.0,,3.0,3.0,3.0,No,DOI,No
107,45 - 54,Doctorate,Electrical & Electronic Engineering,Institute Space 2,Yes,0 - Mostly me,22.0,C;#Python;#Assembly language;#Visual Basic,,3.0,5.0,2.0,0.0,3.0,5.0,2.0,0.0,Subversion,Yes,,,3.0,,,2.0,,2.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,No,,No
108,35 - 44,Doctorate,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,1,10.0,Python;#Visual Basic .NET,,6.0,3.0,1.0,0.0,2.0,8.0,0.0,0.0,Subversion,Yes,,1.0,3.0,1.0,2.0,1.0,2.0,1.0,Yes,,1.0,1.0,3.0,,1.0,1.0,3.0,Yes,Name,No
109,35 - 44,Doctorate,Sociology,Other 1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
110,45 - 54,Master degree,Electrical & Electronic Engineering,Institute Space 12,Yes,3,30.0,C;#Python;#C++;#Assembly language,,5.0,3.0,1.0,1.0,3.0,4.0,1.0,2.0,Git,Yes,,1.0,3.0,2.0,2.0,3.0,1.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,No,Name,No
111,45 - 54,Master degree,Computer Science,,Yes,5 - Mostly other people,19.0,Java;#SQL,,9.0,,,1.0,9.0,,,1.0,"Subversion;#Other central VCS (e.g. DARCS, SourceSafe)",Yes,,2.0,3.0,1.0,3.0,3.0,3.0,2.0,Yes,,3.0,2.0,3.0,,3.0,3.0,3.0,No,,No
112,25 - 34,Master degree,Computer Science,Institute Space 17,Yes,3,6.0,Java;#Python,,3.0,3.0,2.0,2.0,5.0,4.0,0.0,1.0,Git,Yes,,3.0,3.0,2.0,2.0,2.0,3.0,2.0,Yes,,3.0,1.0,2.0,,1.0,3.0,3.0,Yes,Name;#Link;#Other,No
113,25 - 34,Master degree,General Engineering,Institute Aeronautics 3,Yes,1,2.0,Python;#Other,,4.0,4.0,1.0,1.0,3.0,5.0,0.0,1.0,Subversion,Yes,,2.0,3.0,1.0,2.0,1.0,1.0,1.0,Yes,,1.0,2.0,3.0,,2.0,2.0,3.0,No,,No
114,25 - 34,Master degree,Mechanical Engineering,Institute Energy 4,Yes,2,2.0,C++;#Other,,4.0,8.0,2.0,3.0,6.0,6.0,1.0,1.0,Git,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,,No
115,25 - 34,Doctorate,Computer Science,Other,Yes,2,10.0,Java;#Python;#C++;#C#;#Rust,,2.0,1.0,3.0,4.0,5.0,4.0,1.0,,Git,Yes,,2.0,3.0,1.0,1.0,2.0,2.0,3.0,Yes,,3.0,1.0,2.0,,3.0,3.0,3.0,Yes,Name,Yes
116,25 - 34,Master degree,Mathematics,Institute Energy 1,Yes,0 - Mostly me,4.0,Java;#Python;#MATLAB,,1.0,4.0,3.0,2.0,2.0,6.0,1.0,1.0,Git,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,3.0,Yes,,2.0,1.0,3.0,,3.0,3.0,2.0,Yes,Name;#DOI,Yes
117,25 - 34,Doctorate,Mathematics,Institute Space 15,Yes,0 - Mostly me,13.0,MATLAB;#Fortran;#Other,,5.0,4.0,0.0,1.0,5.0,5.0,,,None,Yes,,,3.0,,3.0,,3.0,3.0,Yes,,2.0,2.0,2.0,,3.0,3.0,3.0,Yes,Name,No
118,35 - 44,Master degree,Aeronautical & Manufacturing Engineering,Institute Space 16,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
119,35 - 44,Master degree,Computer Science,Institute Space 7,Yes,3,15.0,C++,,2.0,1.0,5.0,2.0,3.0,3.0,3.0,1.0,Subversion,Yes,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,No
120,45 - 54,Master degree,Electrical & Electronic Engineering,Institute Space 18,Yes,5 - Mostly other people,25.0,C++;#C#;#SQL,,6.0,0.0,2.0,2.0,6.0,,2.0,2.0,Subversion;#Git,Yes,,2.0,3.0,2.0,3.0,3.0,3.0,3.0,Yes,,2.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name,No
121,25 - 34,Master degree,Electrical & Electronic Engineering,Institute Space 4,Yes,1,5.0,C;#C++;#MATLAB,,5.0,2.0,1.0,2.0,2.0,7.0,0.0,1.0,Subversion,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,2.0,3.0,,1.0,2.0,3.0,No,,No
122,35 - 44,Master degree,Computer Science,Institute Space 18,Yes,2,12.0,Java;#Python;#Other,,6.0,1.0,1.0,2.0,6.0,1.0,1.0,2.0,Git,Yes,,2.0,3.0,2.0,2.0,2.0,2.0,2.0,Yes,,1.0,3.0,3.0,,2.0,2.0,3.0,No,,No
123,55 or older,Doctorate,Physics,Institute Aeronautics 1,Yes,1,38.0,Visual Basic .NET;#Visual Basic;#Fortran,,2.0,4.0,1.0,3.0,3.0,4.0,1.0,2.0,Other,Yes,,2.0,2.0,3.0,3.0,3.0,3.0,3.0,Yes,,,2.0,3.0,,3.0,3.0,3.0,No,Name,No
124,45 - 54,Doctorate,Geography & Environmental Sciences,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name,
125,25 - 34,Master degree,Mechanical Engineering,Institute Space 13,Yes,1,3.0,C;#Python;#MATLAB,,2.0,3.0,1.0,4.0,4.0,4.0,1.0,1.0,Subversion;#Git,Yes,,1.0,3.0,1.0,1.0,2.0,1.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,,Yes
126,25 - 34,Master degree,Electrical & Electronic Engineering,Institute Space 3,Yes,0 - Mostly me,14.0,Python;#Other,,5.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,Subversion;#None,Yes,,2.0,3.0,1.0,2.0,2.0,2.0,2.0,Yes,,1.0,2.0,2.0,,3.0,3.0,3.0,No,Name;#Link,Yes
127,35 - 44,Doctorate,Biological Sciences,Institute Energy 4,Yes,1,4.0,Java;#Python;#R,,4.0,4.0,1.0,1.0,2.0,8.0,0.0,0.0,Subversion,Yes,,,3.0,,2.0,,,,Yes,,1.0,2.0,2.0,,2.0,2.0,2.0,Yes,Name;#Link;#DOI,No
128,35 - 44,Doctorate,Physics,Institute Space 8,Yes,1,15.0,C;#C++,,3.0,7.0,,,,10.0,,,Subversion,No,,1.0,2.0,1.0,2.0,2.0,2.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,,Yes
129,45 - 54,Doctorate,Physics,,Yes,1,24.0,Python;#Visual Basic .NET;#Other,,1.0,3.0,6.0,0.0,2.0,5.0,3.0,,Git,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,3.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,No,Other,No
130,25 - 34,Master degree,Mechanical Engineering,,Yes,3,2.0,PHP;#JavaScript;#SQL;#Perl;#Fortran,,2.0,1.0,4.0,3.0,2.0,1.0,4.0,3.0,Subversion;#Git,Yes,,2.0,3.0,1.0,1.0,2.0,1.0,2.0,Yes,,1.0,2.0,3.0,,3.0,2.0,3.0,No,Other,No
131,35 - 44,Master degree,Electrical & Electronic Engineering,Institute Space 3,Yes,3,4.0,Python,,2.0,1.0,4.0,3.0,3.0,3.0,4.0,,Git,Yes,,1.0,3.0,2.0,2.0,2.0,1.0,2.0,Yes,,1.0,2.0,2.0,,2.0,2.0,3.0,No,,No
132,25 - 34,Doctorate,Electrical & Electronic Engineering,Institute Space 6,Yes,3,7.0,C++;#MATLAB;#Other,,4.0,3.0,1.0,2.0,1.0,5.0,1.0,3.0,CVS,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,2.0,No,,No
133,45 - 54,Doctorate,Mechanical Engineering,,Yes,4,20.0,Python;#Other,,3.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,Subversion;#Git,Yes,,2.0,3.0,2.0,2.0,2.0,1.0,2.0,Yes,,1.0,3.0,2.0,,2.0,2.0,3.0,No,Name,No
134,35 - 44,Master degree,Mathematics,Institute Aeronautics 6,Yes,1,9.0,C;#C++,,1.0,3.0,4.0,2.0,4.0,5.0,0.0,1.0,Subversion,No,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,No
135,18 - 24,Other,Other,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Other,
136,35 - 44,Master degree,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,0 - Mostly me,5.0,C;#Python;#C++;#Fortran;#Other,,2.0,4.0,3.0,1.0,2.0,6.0,0.0,2.0,Git,No,,1.0,3.0,1.0,1.0,,2.0,3.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,No
137,55 or older,Doctorate,Chemistry,Institute Space 16,Yes,4,25.0,C;#C++;#JavaScript;#Perl;#Other,,8.0,,1.0,1.0,7.0,3.0,,,Git;#CVS,Yes,,3.0,3.0,2.0,2.0,3.0,3.0,2.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,No,Other,Yes
138,35 - 44,Master degree,Physics,Institute Space 15,Yes,2,19.0,Python;#Fortran;#Other,,7.0,2.0,1.0,,5.0,5.0,0.0,,None,Yes,,1.0,3.0,1.0,2.0,,2.0,2.0,Yes,,3.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name,Yes
139,18 - 24,Master degree,Computer Science,Institute Space 6,Yes,1,2.0,Python;#Other,,5.0,4.0,0.0,1.0,6.0,3.0,0.0,1.0,None,Yes,,1.0,3.0,1.0,1.0,3.0,3.0,3.0,Yes,,1.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,Yes
140,35 - 44,Doctorate,Mathematics,Institute Space 13,Yes,4,16.0,C;#Python;#MATLAB;#Fortran;#Other,,2.0,3.0,3.0,2.0,8.0,2.0,,,Subversion;#Git,No,,1.0,2.0,1.0,2.0,3.0,3.0,2.0,Yes,,2.0,3.0,3.0,,2.0,2.0,3.0,Yes,Name;#Link;#Other,Yes
141,35 - 44,Master degree,Geography & Environmental Sciences,Institute Space 18,Yes,4,20.0,Java;#Python;#C++;#JavaScript;#SQL,,5.0,4.0,1.0,,5.0,4.0,1.0,,Git,Yes,,2.0,3.0,3.0,2.0,2.0,3.0,3.0,Yes,,2.0,3.0,2.0,,2.0,3.0,3.0,No,Link,No
142,35 - 44,Doctorate,Aeronautical & Manufacturing Engineering,Institute Space 10,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name;#Link;#Other,
143,35 - 44,Doctorate,Chemistry,Institute Aeronautics 8,Yes,0 - Mostly me,13.0,C;#Python;#Fortran;#Other,,1.0,1.0,7.0,1.0,1.0,3.0,4.0,1.0,Subversion;#Git,Yes,,1.0,3.0,1.0,2.0,1.0,3.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,No
144,25 - 34,Master degree,Electrical & Electronic Engineering,Institute Transport 2,Yes,2,1.0,Python;#MATLAB,,3.0,4.0,2.0,1.0,5.0,4.0,1.0,0.0,None,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,Yes,,1.0,2.0,2.0,,2.0,2.0,2.0,No,,No
145,45 - 54,Master degree,Electrical & Electronic Engineering,Institute Energy 4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
146,25 - 34,Master degree,Electrical & Electronic Engineering,Institute Space 3,Yes,0 - Mostly me,7.0,Python;#Other,,4.0,4.0,2.0,0.0,7.0,2.0,0.0,1.0,None,No,,1.0,3.0,1.0,2.0,1.0,1.0,3.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,DOI,No
147,35 - 44,Doctorate,Psychology,Institute Transport 1,Yes,0 - Mostly me,0.0,R,,0.0,4.0,2.0,4.0,,9.0,,1.0,Git;#CVS,Yes,,1.0,3.0,2.0,1.0,1.0,2.0,3.0,Yes,,1.0,1.0,2.0,,3.0,1.0,2.0,No,,No
148,25 - 34,Master degree,Mechanical Engineering,Institute Aeronautics 3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Name,
149,35 - 44,Doctorate,Computer Science,Institute Aeronautics 8,Yes,3,8.0,Python;#C++,,2.0,,8.0,8.0,8.0,,2.0,4.0,Subversion,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,1.0,3.0,,1.0,1.0,3.0,No,,No
150,,Doctorate,Aeronautical & Manufacturing Engineering,Institute Energy 2,Yes,3,20.0,C;#Python;#MATLAB;#Fortran,,2.0,3.0,4.0,1.0,3.0,5.0,1.0,1.0,Subversion,Yes,,2.0,3.0,2.0,2.0,2.0,2.0,3.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name,Yes
151,35 - 44,Doctorate,Computer Science,Institute Aeronautics 6,Yes,4,25.0,C;#C++,,4.0,3.0,3.0,0.0,4.0,3.0,3.0,0.0,Subversion,Yes,,2.0,3.0,1.0,2.0,2.0,1.0,2.0,Yes,,1.0,2.0,3.0,,2.0,2.0,3.0,Yes,Name,Yes
152,35 - 44,Doctorate,Computer Science,Institute Space 2,Yes,2,5.0,MATLAB;#R,,2.0,5.0,1.0,2.0,2.0,5.0,1.0,2.0,Subversion,Yes,,1.0,3.0,1.0,2.0,1.0,2.0,1.0,Yes,,1.0,1.0,3.0,,2.0,2.0,3.0,Yes,Name;#Link;#DOI,No
153,25 - 34,Other,Computer Science,,Yes,0 - Mostly me,20.0,Python;#C++;#SQL;#R;#Other,,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,Git,Yes,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,No,DOI;#Other,No
154,35 - 44,Doctorate,Aeronautical & Manufacturing Engineering,Institute Energy 2,Yes,2,12.0,C;#Python;#C++;#Fortran,,2.0,2.0,2.0,4.0,4.0,5.0,0.0,1.0,Subversion,Yes,,1.0,3.0,1.0,2.0,1.0,1.0,2.0,Yes,,1.0,1.0,2.0,,2.0,2.0,2.0,Yes,Name;#Other,No
155,55 or older,Doctorate,Physics,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
156,35 - 44,Master degree,Computer Science,Institute Aeronautics 6,Yes,2,20.0,Java;#C;#C++;#R;#Other,,4.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,Subversion;#Git,Yes,,1.0,3.0,2.0,3.0,3.0,2.0,2.0,Yes,,2.0,2.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#Other,No
157,55 or older,Other,Computer Science,Institute Aeronautics 1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
158,18 - 24,Undergraduate degree,Computer Science,Institute Aeronautics 6,Yes,3,3.0,Java;#Python;#C++;#C#;#JavaScript;#SQL;#R,,8.0,1.0,0.0,1.0,7.0,2.0,0.0,1.0,Subversion;#Git,Yes,,2.0,3.0,1.0,2.0,1.0,2.0,3.0,Yes,,2.0,2.0,3.0,,1.0,2.0,3.0,No,,No
159,25 - 34,Undergraduate degree,Other,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
160,25 - 34,Master degree,Mechanical Engineering,Institute Space 3,Yes,2,7.0,Python;#SQL;#Other,,4.0,4.0,0.0,2.0,4.0,5.0,,1.0,Subversion;#Git,Yes,,1.0,3.0,2.0,2.0,2.0,1.0,1.0,Yes,,1.0,2.0,3.0,,3.0,3.0,3.0,No,,No
161,35 - 44,Doctorate,Chemical Engineering,Institute Aeronautics 14,Yes,2,20.0,Java;#C;#MATLAB,,2.0,2.0,4.0,2.0,2.0,4.0,3.0,1.0,Git,Yes,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Yes,,1.0,1.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link,No
162,25 - 34,Undergraduate degree,Computer Science,Institute Transport 1,Yes,2,3.0,Java;#C;#C++,,3.0,1.0,6.0,,6.0,2.0,1.0,1.0,Subversion;#Git,Yes,,1.0,3.0,1.0,2.0,1.0,2.0,2.0,Yes,,1.0,1.0,3.0,,3.0,2.0,3.0,No,Name;#Link,Yes
163,45 - 54,Doctorate,Aeronautical & Manufacturing Engineering,Institute Aeronautics 1,Yes,1,15.0,C;#C++;#Fortran,,1.0,3.0,6.0,0.0,1.0,5.0,4.0,0.0,Other,Yes,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,Yes,,1.0,3.0,3.0,,3.0,3.0,3.0,Yes,Name;#Link;#Other,No
164,55 or older,Doctorate,Other,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
165,35 - 44,Doctorate,Geology,Institute Space 9,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Name,
166,55 or older,Master degree,Physics,Institute Space 9,Yes,1,30.0,C;#Other,,5.0,,3.0,2.0,10.0,,,,Subversion;#Git;#CVS,Yes,,,3.0,,3.0,,,2.0,Yes,,,2.0,3.0,,,3.0,3.0,No,,No
167,45 - 54,Master degree,Mathematics,Institute Space 17,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Link;#DOI,
